證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4566","時碩工業","372528","19011153","51.10","52.00","50.50","50.70","-0.1000","311"
"4571","鈞興-KY","5000","334000","66.80","66.80","66.80","66.80","0.5000","5"
"4572","駐龍","299079","35873246","119.00","121.00","118.50","119.50","0.5000","211"
"4576","大銀微系統","42247","2752203","65.10","65.70","64.50","64.90","-0.7000","45"
"4581","光隆精密-KY","2000","63600","31.80","31.80","31.80","31.80","-0.1500","1"
"4583","台灣精銳","29002","5284876","185.00","185.50","178.00","178.00","-9.5000","30"
"4720","德淵","185053","2549181","13.80","14.00","13.65","13.70","-0.1000","117"
"4722","國精化","12234","404188","33.50","33.50","32.95","33.00","0.0000","16"
"4737","華廣","37102","2754315","74.00","75.40","73.20","74.00","0.2000","28"
"4739","康普","1103829","98091238","89.20","90.30","87.80","87.80","-1.4000","898"
"4746","台耀","201390","9830585","49.10","49.55","48.40","48.40","-0.6000","185"
"4755","三福化","317219","35158542","111.00","112.00","110.00","110.00","0.0000","282"
"4763","材料-KY","836491","96072733","116.50","117.50","113.00","113.50","-2.0000","644"
"4764","雙鍵","","","","","","","0.0000",""
"4766","南寶","35000","4558500","130.50","131.00","129.50","130.00","-0.5000","31"
"4770","上品","266558","76281367","286.50","291.00","281.00","282.50","-2.0000","263"
"4807","日成-KY","3000","58250","19.40","19.45","19.40","19.45","0.0000","3"
"4904","遠傳","5663294","386431632","68.20","68.60","67.70","67.90","-0.6000","2980"
"4906","正文","1332420","36631962","27.60","27.80","27.15","27.20","-0.2500","783"
"4912","聯德控股-KY","235031","17085834","69.00","74.60","69.00","71.60","1.7000","202"
"4915","致伸","2124833","126507566","60.00","60.40","59.00","59.00","-1.1000","1305"
"4916","事欣科","143184","3182732","22.30","22.60","21.95","22.05","-0.2000","127"
"4919","新唐","7106307","719089931","101.50","103.00","99.80","99.80","-0.7000","4200"
"4927","泰鼎-KY","5775214","303594220","52.60","53.90","51.50","51.60","0.1000","3511"
"4930","燦星網","32947","787440","24.00","24.05","23.80","23.80","0.0000","33"
"4934","太極","316162","7641016","24.05","24.45","24.00","24.25","0.2500","232"
"4935","茂林-KY","96560","4789014","50.50","50.50","49.15","49.70","0.3000","99"
"4938","和碩","5290967","300744316","56.20","57.40","55.90","56.70","0.1000","2376"
"4942","嘉彰","101138","3421424","34.00","34.05","33.70","33.85","0.0000","96"
"4943","康控-KY","142205","1438755","9.99","10.20","9.99","10.05","-0.0500","100"
"4952","凌通","214209","9763630","45.55","46.20","44.85","44.85","-1.0500","267"
"4956","光鋐","105008","1490614","14.20","14.30","14.10","14.15","0.0000","75"
"4958","臻鼎-KY","5266435","568324294","111.00","111.00","106.00","107.00","-3.0000","2721"
"4960","誠美材","1293699","12560417","9.76","9.88","9.60","9.61","-0.1500","432"
"4961","天鈺","9750466","1086263845","111.50","113.00","109.50","112.00","0.5000","6714"
"4967","十銓","449873","14014606","30.90","32.40","30.50","31.45","0.8000","504"
"4968","立積","1220876","120048764","97.00","99.70","97.00","97.70","1.2000","1295"
"4976","佳凌","223042","7782137","35.00","35.55","34.55","34.80","-0.1500","197"
"4977","眾達-KY","3661616","393351717","105.50","112.00","103.50","104.00","0.5000","2339"
"4989","榮科","91209","2114966","23.20","23.80","22.80","22.80","-0.2000","97"
"4994","傳奇","70140","2700724","38.90","38.95","38.00","38.50","0.0000","56"
"4999","鑫禾","19385","679171","35.20","35.20","34.85","34.95","-0.3500","27"
"5007","三星","22145","1163327","52.50","52.80","52.40","52.40","-0.1000","18"
"5203","訊連","94222","8110724","85.40","87.10","85.20","85.80","-0.3000","81"
"5215","科嘉-KY","5195910","267286269","48.50","53.20","48.20","53.20","4.7000","3849"
