statistic_yyy;according;site_id;marriage_type;female_age_or_spouse1;male_age_or_spouse2;marry_pair;site_id2
110;按登記日期分;桃園市桃園區;不同性別;22歲;24歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;25歲;4;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;26歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;27歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;28歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;29歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;31歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;33歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;34歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;35～39歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;40～44歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;45～54歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;22歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;21歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;22歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;23歲;11;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;24歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;25歲;7;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;26歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;27歲;7;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;28歲;7;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;29歲;5;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;30歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;31歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;34歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;35～39歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;45～54歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;23歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;20歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;22歲;4;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;23歲;4;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;24歲;12;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;25歲;14;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;26歲;10;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;27歲;8;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;28歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;29歲;8;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;30歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;31歲;4;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;32歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;33歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;34歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;35～39歲;5;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;40～44歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;24歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;22歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;23歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;24歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;25歲;12;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;26歲;20;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;27歲;12;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;28歲;8;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;29歲;9;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;30歲;10;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;31歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;32歲;8;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;33歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;34歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;35～39歲;8;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;40～44歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;25歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;22歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;23歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;24歲;4;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;25歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;26歲;36;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;27歲;35;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;28歲;14;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;29歲;14;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;30歲;8;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;31歲;10;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;32歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;33歲;5;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;34歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;35～39歲;11;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;40～44歲;6;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;26歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;22歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;23歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;24歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;25歲;5;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;26歲;26;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;27歲;51;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;28歲;20;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;29歲;17;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;30歲;24;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;31歲;12;桃園區
110;按登記日期分;桃園市桃園區;不同性別;27歲;32歲;10;桃園區
