year,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
2011,0.001900000000000000000000000000,0.000700000000000000000000000000,0.000300000000000000000000000000,0.003200000000000000000000000000,0.018600000000000000000000000000,0.103400000000000000000000000000,0.092800000000000000000000000000,0.003300000000000000000000000000,0.000300000000000000000000000000,0.004500000000000000000000000000,0.034100000000000000000000000000,0.001100000000000000000000000000,0.010100000000000000000000000000,0.024900000000000000000000000000,0.061300000000000000000000000000,0.480000000000000000000000000000,0.008800000000000000000000000000,0.150700000000000000000000000000,0.007400000000000000000000000000
2012,0.002400000000000000000000000000,0.000800000000000000000000000000,0.000400000000000000000000000000,0.004200000000000000000000000000,0.029300000000000000000000000000,0.096000000000000000000000000000,0.090100000000000000000000000000,0.003600000000000000000000000000,0.000400000000000000000000000000,0.004700000000000000000000000000,0.031000000000000000000000000000,0.001000000000000000000000000000,0.012100000000000000000000000000,0.011500000000000000000000000000,0.054200000000000000000000000000,0.497600000000000000000000000000,0.008500000000000000000000000000,0.152100000000000000000000000000,0.008000000000000000000000000000
2013,0.002700000000000000000000000000,0.001100000000000000000000000000,0.000400000000000000000000000000,0.005600000000000000000000000000,0.034100000000000000000000000000,0.096000000000000000000000000000,0.089200000000000000000000000000,0.003300000000000000000000000000,0.000400000000000000000000000000,0.003900000000000000000000000000,0.029000000000000000000000000000,0.001000000000000000000000000000,0.010600000000000000000000000000,0.006600000000000000000000000000,0.049700000000000000000000000000,0.515100000000000000000000000000,0.009300000000000000000000000000,0.141900000000000000000000000000,0.008600000000000000000000000000
2014,0.003000000000000000000000000000,0.001200000000000000000000000000,0.000200000000000000000000000000,0.006000000000000000000000000000,0.031700000000000000000000000000,0.088800000000000000000000000000,0.081100000000000000000000000000,0.003900000000000000000000000000,0.000500000000000000000000000000,0.003700000000000000000000000000,0.026100000000000000000000000000,0.000900000000000000000000000000,0.011100000000000000000000000000,0.009200000000000000000000000000,0.048000000000000000000000000000,0.550500000000000000000000000000,0.008500000000000000000000000000,0.125700000000000000000000000000,0.009200000000000000000000000000
2015,0.003100000000000000000000000000,0.001800000000000000000000000000,0.000100000000000000000000000000,0.006100000000000000000000000000,0.028300000000000000000000000000,0.079200000000000000000000000000,0.075600000000000000000000000000,0.003000000000000000000000000000,0.000400000000000000000000000000,0.003900000000000000000000000000,0.026200000000000000000000000000,0.000900000000000000000000000000,0.011100000000000000000000000000,0.013400000000000000000000000000,0.049200000000000000000000000000,0.579700000000000000000000000000,0.011200000000000000000000000000,0.106700000000000000000000000000,0.010400000000000000000000000000
2016,0.002400000000000000000000000000,0.001800000000000000000000000000,0.000100000000000000000000000000,0.006100000000000000000000000000,0.017300000000000000000000000000,0.073900000000000000000000000000,0.069700000000000000000000000000,0.002100000000000000000000000000,0.000400000000000000000000000000,0.003700000000000000000000000000,0.023000000000000000000000000000,0.000700000000000000000000000000,0.010900000000000000000000000000,0.006000000000000000000000000000,0.046600000000000000000000000000,0.630900000000000000000000000000,0.009300000000000000000000000000,0.095100000000000000000000000000,0.009800000000000000000000000000
2017,0.002700000000000000000000000000,0.001900000000000000000000000000,0.000100000000000000000000000000,0.006200000000000000000000000000,0.014700000000000000000000000000,0.072000000000000000000000000000,0.071900000000000000000000000000,0.001600000000000000000000000000,0.000500000000000000000000000000,0.004100000000000000000000000000,0.020100000000000000000000000000,0.000700000000000000000000000000,0.009800000000000000000000000000,0.004400000000000000000000000000,0.050600000000000000000000000000,0.642400000000000000000000000000,0.006200000000000000000000000000,0.090300000000000000000000000000,0.008900000000000000000000000000
2018,0.003500000000000000000000000000,0.002000000000000000000000000000,0.000100000000000000000000000000,0.006600000000000000000000000000,0.013700000000000000000000000000,0.077800000000000000000000000000,0.073100000000000000000000000000,0.001200000000000000000000000000,0.000400000000000000000000000000,0.004800000000000000000000000000,0.018200000000000000000000000000,0.000600000000000000000000000000,0.009100000000000000000000000000,0.003900000000000000000000000000,0.049000000000000000000000000000,0.647600000000000000000000000000,0.006800000000000000000000000000,0.081600000000000000000000000000,0.008000000000000000000000000000
2019,0.003700000000000000000000000000,0.002300000000000000000000000000,0.000100000000000000000000000000,0.007300000000000000000000000000,0.016000000000000000000000000000,0.063100000000000000000000000000,0.064800000000000000000000000000,0.001000000000000000000000000000,0.000300000000000000000000000000,0.004900000000000000000000000000,0.015500000000000000000000000000,0.000500000000000000000000000000,0.008400000000000000000000000000,0.004600000000000000000000000000,0.042500000000000000000000000000,0.678600000000000000000000000000,0.005500000000000000000000000000,0.081000000000000000000000000000,0.007800000000000000000000000000
2020,0.002200000000000000000000000000,0.001900000000000000000000000000,0.000100000000000000000000000000,0.006100000000000000000000000000,0.011000000000000000000000000000,0.047400000000000000000000000000,0.054900000000000000000000000000,0.000600000000000000000000000000,0.000200000000000000000000000000,0.004400000000000000000000000000,0.010700000000000000000000000000,0.000400000000000000000000000000,0.008700000000000000000000000000,0.012900000000000000000000000000,0.039600000000000000000000000000,0.719800000000000000000000000000,0.005600000000000000000000000000,0.073300000000000000000000000000,0.006900000000000000000000000000
2021,0.002300000000000000000000000000,0.001200000000000000000000000000,0.000200000000000000000000000000,0.005400000000000000000000000000,0.011900000000000000000000000000,0.051600000000000000000000000000,0.058600000000000000000000000000,0.000600000000000000000000000000,0.000200000000000000000000000000,0.004100000000000000000000000000,0.009900000000000000000000000000,0.000500000000000000000000000000,0.007300000000000000000000000000,0.005900000000000000000000000000,0.040500000000000000000000000000,0.725500000000000000000000000000,0.005500000000000000000000000000,0.068800000000000000000000000000,0.006300000000000000000000000000
